FlightNumber,DepartureAirport,ArrivalAirport,DepartureTime,ArrivalTime,Airline,FlightDuration,AvgTicketPrice,Aircraft,PassengerCount
FL-677013,YUL,AMS,2023-05-18 02:02:00,2023-05-18 06:28:00,KLM,4:26:00,827,Boeing 787,231
FL-805936,YXU,FCO,2023-10-24 07:08:00,2023-10-24 12:28:00,Lufthansa,5:20:00,2627,Airbus A320,167
FL-207718,AMS,YOW,2023-06-21 01:19:00,2023-06-21 05:32:00,KLM,4:13:00,2679,McDonnell Douglas MD-88,200
FL-702083,YXU,CDG,2023-06-11 16:24:00,2023-06-11 18:37:00,EVA Air,2:13:00,2370,Boeing 747,130
FL-628239,IST,MEL,2023-10-24 05:30:00,2023-10-24 08:18:00,Air Python,2:48:00,2817,Boeing 747,136
FL-128697,SIN,ORD,2023-04-04 19:24:00,2023-04-05 04:10:00,Swiss International Air Lines,8:46:00,2522,Airbus A340,148
FL-324394,YUL,SIN,2023-06-17 00:47:00,2023-06-17 02:32:00,Air Python,1:45:00,688,McDonnell Douglas MD-88,168
FL-249138,FRA,DEN,2023-03-05 04:28:00,2023-03-05 13:16:00,Etihad Airways,8:48:00,2464,Boeing 787,183
FL-645430,MEX,HND,2023-03-09 00:05:00,2023-03-09 06:02:00,Iberia,5:57:00,301,Airbus A350,223
FL-388385,HND,MIA,2023-02-16 20:48:00,2023-02-17 01:55:00,Singapore Airlines,5:07:00,1841,Airbus A350,151
FL-941862,HND,SYD,2023-12-15 23:49:00,2023-12-16 05:25:00,China Southern Airlines,5:36:00,2872,Airbus A330,137
FL-744456,ATL,YUL,2023-06-22 15:43:00,2023-06-22 19:30:00,Turkish Airlines,3:47:00,1467,Boeing 747,127
FL-325007,SFO,YVR,2023-09-16 02:41:00,2023-09-16 09:54:00,Air Canada,7:13:00,1156,Boeing 747,195
FL-430350,LAX,FRA,2023-06-16 07:56:00,2023-06-16 12:14:00,Air Canada,4:18:00,223,Boeing 777,128
FL-217231,YOW,HKG,2023-02-08 01:54:00,2023-02-08 09:08:00,Etihad Airways,7:14:00,1709,Boeing 767,234
FL-349218,SIN,DFW,2023-10-04 09:03:00,2023-10-04 12:28:00,Emirates,3:25:00,2149,Boeing 787,196
FL-941622,SYD,AMS,2023-08-13 22:47:00,2023-08-14 05:21:00,Turkish Airlines,6:34:00,2572,McDonnell Douglas MD-88,232
FL-637775,YUL,JFK,2023-01-07 09:29:00,2023-01-07 18:15:00,Cathay Pacific,8:46:00,1007,Boeing 777,221
FL-889660,DEN,ICN,2023-01-03 17:26:00,2023-01-04 01:47:00,Avianca,8:21:00,519,Boeing 737 MAX,141
FL-354704,ORD,YHZ,2023-12-06 16:47:00,2023-12-06 22:17:00,KLM,5:30:00,1190,Airbus A320,190
FL-487992,YYZ,FCO,2023-02-18 12:25:00,2023-02-18 19:50:00,Avianca,7:25:00,1027,Boeing 747,228
FL-402549,YOW,ATL,2023-02-10 03:10:00,2023-02-10 11:58:00,Finnair,8:48:00,1294,Boeing 767,105
FL-527734,SYD,PEK,2023-10-05 14:12:00,2023-10-05 17:43:00,Lufthansa,3:31:00,690,Bombardier Q400,245
FL-524142,HND,LHR,2023-12-04 08:51:00,2023-12-04 17:34:00,ANA All Nippon Airways,8:43:00,1506,Boeing 777,207
FL-593830,YUL,DEN,2023-05-04 12:53:00,2023-05-04 16:44:00,EVA Air,3:51:00,2723,Airbus A330,184
FL-925182,SYD,YUL,2023-06-03 05:00:00,2023-06-03 07:49:00,Air Canada,2:49:00,2445,Boeing 747,191
FL-293872,YUL,HND,2023-06-07 06:37:00,2023-06-07 12:00:00,Iberia,5:23:00,533,Boeing 767,223
FL-253943,YVR,AMS,2023-09-04 09:57:00,2023-09-04 15:00:00,EVA Air,5:03:00,1240,Bombardier CRJ900,123
FL-656559,LHR,AMS,2023-04-15 14:54:00,2023-04-15 17:18:00,Iberia,2:24:00,216,McDonnell Douglas MD-88,216
FL-679602,JFK,YYZ,2023-06-01 03:27:00,2023-06-01 06:27:00,Aeroflot,3:00:00,864,Boeing 787,143
FL-827751,YXU,JFK,2023-09-09 01:35:00,2023-09-09 05:23:00,Thai Airways,3:48:00,1954,Airbus A350,190
FL-220671,PEK,LAX,2023-11-15 17:17:00,2023-11-15 19:25:00,Aeroflot,2:08:00,1916,Boeing 747,166
FL-232367,YVR,LAX,2023-09-07 04:05:00,2023-09-07 10:45:00,Virgin Atlantic,6:40:00,1427,Boeing 737 MAX,198
FL-666197,YYZ,SFO,2023-11-01 04:25:00,2023-11-01 09:08:00,Air France,4:43:00,282,Airbus A340,168
FL-631429,SIN,SYD,2023-09-07 22:46:00,2023-09-08 03:01:00,Air Canada,4:15:00,1194,Airbus A340,132
FL-235623,FCO,SYD,2023-01-12 12:45:00,2023-01-12 15:40:00,China Southern Airlines,2:55:00,400,Boeing 747,249
FL-998237,HND,LAX,2023-02-14 08:54:00,2023-02-14 15:33:00,EVA Air,6:39:00,924,Airbus A380,236
FL-373841,IST,YVR,2023-09-02 10:00:00,2023-09-02 14:08:00,Virgin Atlantic,4:08:00,799,Airbus A380,133
